Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,6.14,6.47,6.07,6.31,6.31,4453600
1/3/2020,6.21,6.25,5.84,5.88,5.88,3543900
1/6/2020,5.8,5.91,5.6,5.85,5.85,3394800
1/7/2020,5.77,5.83,5.44,5.52,5.52,5228000
1/8/2020,5.49,5.85,5.41,5.72,5.72,5629400
1/9/2020,5.82,5.82,5.48,5.55,5.55,2643000
1/10/2020,5.56,5.6,5.38,5.43,5.43,2781400
1/13/2020,5.43,5.61,5.33,5.43,5.43,3625200
1/14/2020,4.78,5,4.53,4.71,4.71,12561900
1/15/2020,4.66,4.73,4.55,4.61,4.61,4981100
1/16/2020,4.61,4.71,4.52,4.62,4.62,4287100
1/17/2020,4.58,4.75,4.51,4.75,4.75,4019500
1/21/2020,4.75,4.75,4.55,4.59,4.59,3532100
1/22/2020,4.55,4.64,4.46,4.56,4.56,2627500
1/23/2020,4.55,4.64,4.46,4.62,4.62,1880200
1/24/2020,4.64,4.64,4.25,4.32,4.32,4163600
1/27/2020,4.2,4.35,4.16,4.28,4.28,2122500
1/28/2020,4.3,4.3,4.18,4.21,4.21,2144900
1/29/2020,4.22,4.32,4.13,4.13,4.13,1552600
1/30/2020,4.1,4.12,3.88,3.93,3.93,3006500
1/31/2020,3.91,3.94,3.83,3.84,3.84,2891700
2/3/2020,3.88,3.98,3.85,3.95,3.95,2025600
2/4/2020,4.03,4.25,3.97,4.07,4.07,3563100
2/5/2020,4.15,4.41,4.14,4.18,4.18,2641700
2/6/2020,4.2,4.3,4.14,4.14,4.14,1510300
2/7/2020,4.11,4.13,3.77,3.81,3.81,2742300
2/10/2020,3.85,4.1,3.74,3.94,3.94,2777000
2/11/2020,3.98,4.24,3.95,4.02,4.02,3415000
2/12/2020,4.13,4.51,4.07,4.19,4.19,4820600
2/13/2020,4.12,4.26,4.07,4.11,4.11,2081700
2/14/2020,4.11,4.19,4.02,4.02,4.02,1582700
2/18/2020,4.01,4.08,3.96,4.06,4.06,1467600
2/19/2020,4.06,4.27,3.92,4.15,4.15,2593100
2/20/2020,4.16,4.3,4.11,4.14,4.14,1562300
2/21/2020,4.12,4.18,3.99,4.04,4.04,1695700
2/24/2020,3.9,3.93,3.7,3.7,3.7,3566300
2/25/2020,3.77,3.79,3.55,3.56,3.56,4447900
2/26/2020,3.58,3.62,3.36,3.39,3.39,4724800
2/27/2020,3.23,3.63,3.18,3.47,3.47,3879500
2/28/2020,3.34,3.72,3.34,3.6,3.6,4692200
3/2/2020,3.6,3.85,3.39,3.83,3.83,3208400
3/3/2020,3.88,3.89,3.5,3.63,3.63,4282500
3/4/2020,3.71,3.83,3.46,3.77,3.77,4257600
3/5/2020,3.7,3.99,3.59,3.96,3.96,3599400
3/6/2020,3.84,4.07,3.76,3.92,3.92,2096800
3/9/2020,3.59,3.97,3.5,3.7,3.7,2732000
3/10/2020,3.94,4.26,3.8,4.23,4.23,4863200
3/11/2020,4.14,4.25,4,4.14,4.14,4414100
3/12/2020,3.7,4.04,3.48,3.98,3.98,5123400
3/13/2020,4.13,4.65,3.85,4.59,4.59,5787200
3/16/2020,3.93,4.57,3.9,4.37,4.37,4866700
3/17/2020,4.4,4.65,4.11,4.23,4.23,3562200
3/18/2020,4.1,4.25,3.5,3.77,3.77,3651700
3/19/2020,3.71,4.2,3.55,4.19,4.19,5039500
3/20/2020,4.08,4.08,3.65,3.76,3.76,7722200
3/23/2020,3.58,3.86,3.5,3.81,3.81,6009800
3/24/2020,3.95,4.21,3.89,4.16,4.16,6805600
3/25/2020,4.15,4.49,4.04,4.17,4.17,3592100
3/26/2020,4.24,4.71,4.24,4.41,4.41,6185700
3/27/2020,4.94,5.09,4.15,4.22,4.22,7024800
3/30/2020,4.22,4.27,3.65,3.65,3.65,3350600
3/31/2020,3.63,3.8,3.5,3.5,3.5,2300900
4/1/2020,3.45,3.49,3.12,3.25,3.25,4568700
4/2/2020,3.26,3.35,2.85,2.85,2.85,4064300
4/3/2020,2.85,2.94,2.57,2.8,2.8,3830400
4/6/2020,2.86,3.2,2.83,3.09,3.09,3340500
4/7/2020,3.39,3.44,3.1,3.27,3.27,2836900
4/8/2020,3.23,3.67,3.2,3.41,3.41,2884500
4/9/2020,3.6,4.25,3.49,3.89,3.89,5908600
